Symbol,scriptcode,previousclose,buyval,sellval,stoplossval,tp1,tp2,tp3,tp1qty,tp2qty,tp3qty,slqty,totalqty,stoplos_bool,tp1_bool,tp2_bool,tp3_bool,tradetype,tslstep,tslmove,tslval,slpts
INFY,1594,1600.6,1768.663,1424.5339999999999,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
INGERRAND,1597,3546.4,3918.772,3156.2960000000003,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
INTELLECT,5926,1092.05,1206.71525,971.9245,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
IOB,9348,63.75,70.44375,56.7375,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
IOC,1624,174.25,192.54625,155.0825,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
IRB,15313,59.2,65.416,52.688,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
IRCON,4986,218.95,241.93974999999998,194.8655,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
IRFC,2029,141.1,155.91549999999998,125.579,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ITI,1675,264.95,292.76975,235.8055,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
JAMNAAUTO,20778,124.1,137.13049999999998,110.449,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
JBCHEPHARM,1726,1574.4,1739.712,1401.2160000000001,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
JBMA,11655,1803.6,1992.9779999999998,1605.204,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
JINDALSTEL,6733,827.75,914.6637499999999,736.6975,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
JKPAPER,11860,364.85,403.15925000000004,324.7165,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
JMFINANCIL,13637,79.3,87.6265,70.577,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
JSL,11236,688.3,760.5714999999999,612.587,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
JSWENERGY,17869,509.0,562.445,453.01,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
JSWSTEEL,11723,829.8,916.929,738.5219999999999,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
JUBLFOOD,18096,450.85,498.18925,401.2565,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
